0
INVOICE_QUARTER
INVOICE_QTR_SIN
INVOICE_QTR_COS
ENTRY_HOUR_SIN
ENTRY_HOUR_COS
ENTRY_DAY_SIN
ENTRY_DAY_COS
ENTRY_MONTH_SIN
ENTRY_MONTH_COS
ENTRY_WEEKDAY_SIN
ENTRY_WEEKDAY_COS
ENTRY_QUARTER
ENTRY_QTR_SIN
ENTRY_QTR_COS
DUE_DATE_QUARTER
DUE_DATE_QTR_SIN
DUE_DATE_QTR_COS
LOG_AMOUNT
LOG_INVOICE_AMOUNT_AVERAGE_PER_DAY
LOG_INVOICE_AMOUNT_SUM_PER_DAY
LOG_ENTRY_AMOUNT_AVERAGE_PER_DAY
LOG_ENTRY_AMOUNT_SUM_PER_DAY
LOG_DUE_AMOUNT_AVERAGE_PER_DAY
LOG_POSTED_AMOUNT_AVERAGE_PER_DAY
DEBIT_CREDIT_INDICATOR_C
DEBIT_CREDIT_INDICATOR_D
