TIMESTAMP,NULL_CHECK,UNIQUE_IDENTITY,DATE_CHECK,CREDIT_DEBIT_INDICATOR_PRESENT,DEBIT_CREDIT_BALANCE_CHECK,MANUAL_ENTRY_FLAG,FINAL_CHECK
2023-01-17 06:46:07,True,True,True,True,True,True,True
2023-01-17 07:41:43,True,True,True,True,True,True,True
2023-01-17 08:07:59,True,True,True,True,True,True,True
2023-01-17 11:51:15,True,True,True,True,True,True,True
