TIMESTAMP,NULL_CHECK,UNIQUE_IDENTITY,DATE_CHECK,CREDIT_DEBIT_INDICATOR_PRESENT,DEBIT_CREDIT_BALANCE_CHECK,MANUAL_ENTRY_FLAG,CONDITIONAL_NULL_CHECK,FINAL_CHECK
2023-01-31 13:24:39,False,True,True,True,True,True,False,False
2023-01-31 13:28:36,False,True,True,True,True,True,False,False
2023-01-31 13:32:28,False,True,True,True,True,True,False,False
