0
DEBIT_CREDIT_INDICATOR
DAY_DIFFERENCE_POSTED_POSTING
ENTERED_DATE_HOUR_SIN
ENTERED_DATE_DAY_SIN
MONTH_SIN
LOG_AMOUNT
MONTH_MEAN
QTR_MEAN
YR_MEAN
MONTH_MEAN_DISTANCE
QTR_MEAN_DISTANCE
YR_MEAN_DISTANCE
IS_WEEKEND
